,base_notes,brand,gender,heart_notes,olfactory_family,perfume_name,top_notes
0,"amber,cedar,white musk",Lanvin,women,"jasmine,lily of the valley,peony",floral,Éclat D'Arpège Sheer,"lotus,tangerine–orange aroma,pitahaya"
1,"amber,cedar,musk",Lanvin,women,"peach,tea,osmanthus,peony,wisteria",floral,Éclat D'Arpège,"lemon,lilac"
2,"cedar,patchouli,sandalwood,vanilla",Davidoff,men,"jasmine,lily of the valley,rose,geranium",oriental,Zino,"bergamot,lavender,rosewood,sage"
3,"cedar,amber,frankincense,patchouli,musk",Shiseido,women,"violet,freesia,gardenia,hyacinth,red apple,lily of the valley,lotus",floral,Zen,"pineapple,bergamot,orange,rose"
4,"patchouli,oak,vetiver",Yves Saint Laurent,women,rose,fruity,Yvresse,"nectarine,anise,mint"
5,"praline,sandalwood,white musks",One Direction,women,"orchid,osmanthus,peony",floral,You & I,"mango,grapefruit"
6,"caramel,amber,musk,vetiver",Franck Boclet,unisex,"ylang-ylang,jasmine,iris",citrus,Ylang Ylang,"mandarin orange blossom,incense,bergamot"
7,"chocolate,milk,sandalwood",Cacharel,women,"jasmine,orange flower petal",floral,Yes I Am Delicious,"green mandarin,green cardamom"
8,"cardamom,milk,sandalwood",Cacharel,women,"amber,gardenia,jasmine,ginger flower",fruity,Yes I Am Collector,"tangerine,raspberry"
9,"tea,galbanum,spices,labdanum,patchouli,vetiver,green notes,woody notes,powder notes,oakmoss",Lorenzo Villoresi,unisex,"tea,lavender,hay,grass,green notes,maté",aromatic,Yerbamate,"citrus fruit,tea,tarragon,mint,grass,ylang-ylang,green notes,maté,brasilian rose wood"
10,"amber,benzoin,musk,palo santo",Versace,women,"jasmine,osmanthus,freesia,orange blossom",citrus,Yellow Diamond Intense,"neroli,pear,bergamot,citron"
11,"amber,benzoin,oakmoss,patchouli,sandalwood,styrax,vetiver,civet",Yves Saint Laurent,women,"hyacinth,orris root,jasmine,rose,tuberose,ylang-ylang",chypre,Y,"aldehydes,gardenia,honeysuckle,green notes,peach,plum"
